trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,27,6,15,3480,6.56,0,230,265,0
7,12,5,10,29,0,1,193,193,0
7,2,2,14,35,0,1,193,193,0
7,25,4,17,63,0,1,193,193,0
7,24,3,22,40,0,1,264,193,0
7,25,4,1,54,0,1,193,193,0
7,18,4,23,64,0,1,264,193,0
7,22,1,10,0,0,1,264,193,0
7,25,4,9,94,0,1,193,264,0
7,5,5,1,54,0,1,193,193,0
7,11,4,6,130,0,1,7,193,0
7,27,6,2,2,0,2,264,193,0
7,12,5,21,28,0,1,193,193,0
7,25,4,13,29,0,2,193,193,0
7,10,3,13,5,0,1,193,193,0
7,19,5,18,57,0,1,193,193,0
7,1,1,18,0,0,2,132,264,0
7,15,1,13,240,0.45,0,177,177,0
7,11,4,6,44,0,1,193,193,0
7,25,4,23,1680,18.37,0,132,262,0
7,15,1,17,1,2.8,1,262,262,0
7,8,1,12,420,1.2,0,35,35,0
7,5,5,1,0,0,2,148,264,0
1,1,5,23,2,0,2,264,193,0
7,16,2,14,1,0,1,264,193,0
7,7,7,2,10,0,1,7,7,0
7,29,1,18,55,0,1,264,193,0
7,27,6,16,1020,1.87,0,260,146,0
7,24,3,21,509,1.18,2,234,186,0
7,15,1,1,0,0,0,88,87,0
7,15,1,21,1080,5.55,0,186,265,0
7,6,6,10,159,0,2,207,207,0
7,16,2,17,122,0,1,193,193,0
7,26,5,23,1440,3.85,0,230,265,0
7,1,1,17,135,0,1,193,193,0
7,31,3,17,0,0,2,237,264,0
7,13,6,0,4,0,1,264,193,0
7,24,3,8,68,0,1,264,193,0
7,3,3,12,0,0,2,238,264,0
7,29,1,20,2484,0,1,141,193,0
7,23,2,11,3,0,1,264,152,0
7,28,7,19,52,0,2,264,264,0
7,6,6,22,2760,34.75,0,74,265,0
7,20,6,13,2760,15.65,0,119,122,0
7,23,2,14,86,0,2,207,207,0
7,13,6,13,31,0,1,193,193,0
7,27,6,12,0,0,2,48,264,0
7,28,7,7,65,0,1,193,193,0
7,27,6,20,37,0,1,264,7,0
7,10,3,9,66,0,1,193,193,0
7,16,2,20,71,0,2,138,138,0
7,9,2,9,120,0,1,264,264,0
7,23,2,7,65,0,1,193,193,0
7,25,4,15,0,0,2,141,264,0
7,28,7,1,58,0,1,193,7,0
7,6,6,20,59,0,1,193,193,0
7,18,4,23,38,0,1,264,193,0
7,19,5,12,68,0,1,264,264,0
7,19,5,12,5,0,1,193,7,0
